hand1_col1, hand1_rank1, hand1_col2, hand1_rank2, hand1_col3, hand1_rank3, hand1_col4, hand1_rank4, hand1_col5, hand1_rank5, hand2_col1, hand2_rank1, hand2_col2, hand2_rank2, hand2_col3, hand2_rank3, hand2_col4, hand2_rank4, hand2_col5, hand2_rank5, discard11, discard12, discard13, discard14, discard15, discard21, discard22, discard23, discard24, discard25, discard31, discard32, discard33, discard34, discard35, discard41, discard42, discard43, discard44, discard45, discard51, discard52, discard53, discard54, discard55, deck_count, hints, pile1, pile2, pile3, pile4, pile5, move, hk_h1_p1, hk_h1_v1, hk_h1_w1, hk_h1_c1, hk_h1_r1, hk_h1_p2, hk_h1_v2, hk_h1_w2, hk_h1_c2, hk_h1_r2, hk_h1_p3, hk_h1_v3, hk_h1_w3, hk_h1_c3, hk_h1_r3, hk_h1_p4, hk_h1_v4, hk_h1_w4, hk_h1_c4, hk_h1_r4, hk_h1_p5, hk_h1_v5, hk_h1_w5, hk_h1_c5, hk_h1_r5, hk_h2_p1, hk_h2_v1, hk_h2_w1, hk_h2_c1, hk_h2_r1, hk_h2_p2, hk_h2_v2, hk_h2_w2, hk_h2_c2, hk_h2_r2, hk_h2_p3, hk_h2_v3, hk_h2_w3, hk_h2_c3, hk_h2_r3, hk_h2_p4, hk_h2_v4, hk_h2_w4, hk_h2_c4, hk_h2_r4, hk_h2_p5, hk_h2_v5, hk_h2_w5, hk_h2_c5, hk_h2_r5
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 3, 5, 1, 2, 2, 2, 4, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 8, 0, 0, 0, 0, 0, 1102, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 3, 5, 1, 2, 2, 2, 4, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 7, 0, 1, 0, 0, 0, 2101, 2, 0, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 6, 6, 2, 2, 2, 2, 6, 2, 2, 2, 2, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 3, 2, 2, 2, 4, 5, 5, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 6, 0, 1, 0, 0, 1, 2102, 2, 0, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 0, 6, 6, 2, 2, 0, 2, 6, 2, 2, 0, 2, 6, 2, 2, 0, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 3, 2, 4, 5, 5, 2, 5, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 5, 0, 2, 0, 0, 1, 400, 2, 0, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 2, 0, 6, 6, 2, 2, 0, 2, 6, 2, 2, 0, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 3, 2, 4, 5, 5, 2, 5, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 35, 7, 0, 2, 0, 0, 1, 2105, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 2, 0, 6, 6, 2, 2, 0, 2, 6, 2, 2, 0, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 4, 5, 5, 2, 5, 3, 5, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 34, 7, 0, 2, 0, 0, 1, 400, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 0, 0, 2, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 4, 5, 5, 2, 5, 3, 5, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 33, 7, 0, 2, 0, 0, 1, 304, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 1, 0, 0, 6, 1, 2, 0, 0, 2, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 4, 5, 5, 2, 5, 3, 5, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 31, 8, 0, 2, 0, 1, 1, 2104, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 0, 2, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 4, 5, 5, 2, 5, 3, 5, 1, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 30, 8, 0, 2, 0, 1, 1, 2104, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 0, 0, 0, 2, 4, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 2, 5, 3, 5, 1, 4, 2, 4, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 29, 8, 0, 2, 0, 1, 1, 2104, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 2, 0, 6, 4, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 2, 5, 3, 5, 2, 4, 4, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 28, 8, 0, 2, 0, 1, 1, 1104, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 4, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 2, 5, 3, 5, 2, 4, 1, 4, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 27, 7, 0, 2, 0, 2, 1, 2104, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 4, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 2, 5, 3, 5, 2, 4, 1, 4, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 27, 5, 0, 2, 0, 2, 1, 300, 1, 0, 0, 6, 3, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 2, 0, 2, 6, 1, 2, 2, 2, 6, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 4, 0, 1, 0, 6, 4
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 2, 5, 3, 5, 2, 4, 1, 4, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 26, 4, 0, 2, 0, 3, 1, 304, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 1, 0, 0, 2, 3, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 4, 0, 1, 0, 6, 4
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 5, 3, 5, 2, 4, 1, 4, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 24, 5, 0, 3, 0, 3, 1, 1102, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 5, 2, 1, 0, 6, 4, 2, 1, 0, 6, 4, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 5, 3, 5, 1, 4, 2, 2, 1, 5, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 23, 4, 0, 4, 0, 3, 1, 400, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 1, 1, 0, 2, 5, 0, 1, 0, 6, 5, 0, 1, 0, 6, 4, 0, 0, 1, 2, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 4, 2, 2, 1, 5, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 21, 6, 0, 5, 0, 3, 1, 1101, 2, 2, 2, 6, 6, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 6, 5, 0, 1, 0, 6, 4, 0, 0, 1, 2, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 4, 2, 2, 1, 5, 2, 3, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 20, 5, 1, 5, 0, 3, 1, 401, 2, 2, 2, 6, 6, 0, 0, 1, 2, 1, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 3, 5, 0, 1, 0, 1, 4, 0, 0, 1, 2, 6, 2, 2, 2, 1, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 4, 2, 2, 1, 5, 2, 3, 0, 1, 1, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 19, 5, 1, 5, 0, 3, 1, 300, 1, 2, 0, 6, 2, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 3, 5, 0, 1, 0, 1, 4, 0, 0, 1, 2, 6, 2, 2, 2, 1, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 4, 1, 5, 2, 3, 3, 1, 0, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 17, 6, 2, 5, 0, 3, 1, 2101, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 0, 2, 6, 6, 0, 1, 0, 3, 5, 0, 1, 0, 1, 4, 2, 2, 2, 1, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 4, 1, 5, 2, 3, 5, 1, 0, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 16, 5, 2, 5, 1, 3, 1, 404, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 0, 2, 6, 6, 0, 1, 0, 3, 5, 0, 1, 0, 1, 4, 2, 1, 0, 1, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 4, 1, 5, 2, 3, 1, 3, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 14, 7, 2, 5, 1, 3, 1, 1101, 2, 0, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 3, 5, 0, 1, 0, 1, 4, 2, 1, 0, 1, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 4, 1, 5, 2, 3, 4, 3, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 13, 6, 3, 5, 1, 3, 1, 400, 2, 0, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 3, 5, 1, 1, 0, 1, 4, 0, 1, 0, 1, 5, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 1, 5, 2, 3, 4, 3, 3, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 11, 7, 4, 5, 1, 3, 1, 400, 2, 0, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 3, 5, 1, 1, 0, 1, 5, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 2, 3, 4, 3, 3, 1, 4, 4, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 9, 8, 5, 5, 1, 3, 1, 1104, 2, 0, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 3, 5, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 2, 3, 4, 3, 3, 1, 3, 2, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 8, 7, 5, 5, 1, 4, 1, 1103, 0, 0, 1, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6, 0, 1, 0, 3, 5, 2, 2, 2, 6, 6, 2, 2, 2, 4, 6, 2, 2, 2, 6, 6, 2, 2, 2, 6, 6
