hand, deck, pile, move
[55; 13; 43; 25; 23; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44; 41; 22; 12; 21], , [201[0; 3]5]
[55; 43; 25; 23; 21; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44; 41; 22; 12], , [312]
[55; 43; 25; 23; 21; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44; 41; 22], , [312]
[55; 25; 23; 21; 41; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45; 44], , [101[1; 2; 3]2]
[55; 25; 23; 41; 44; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31; 45], , [414]
[55; 25; 23; 41; 44; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32; 22; 31], , [413]
[55; 25; 41; 44; 22; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42; 32], , [201[4]2]
[55; 25; 41; 44; 32; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33; 42], , [101[4]3]
[55; 25; 41; 44; 42; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43; 33], , [101[2; 3; 4]4]
[55; 25; 41; 44; 33; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34; 43], , [201[4]3]
[55; 25; 41; 44; 43; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44; 34], , [101[2; 3; 4]4]
[55; 25; 41; 44; 34; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14; 44], , [201[3; 4]4]
[55; 25; 41; 34; 44; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11; 14], , [101[3]3]
[55; 25; 41; 44; 14; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54; 11], , [414]
[55; 25; 41; 44; 14; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24; 54], , [314]
[55; 25; 41; 44; 14; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32; 31; 24], , [310]
[55; 25; 44; 14; 31; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11; 32], , [312]
[55; 25; 44; 14; 31; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42; 11], , [310]
[55; 25; 44; 14; 31; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21; 53; 42], , [312]
[55; 44; 14; 31; 53; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11; 52; 21], , [414]
[55; 44; 31; 53; 52; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34; 51; 11], , [414]
[55; 44; 53; 52; 51; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35; 34], , [101[0; 2; 3; 4]5]
[55; 44; 53; 52; 34; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51; 35], , [201[3]2]
[55; 44; 53; 34; 35; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51; 51], , [101[3; 4]3]
[55; 44; 53; 34; 51; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24; 51], , [201[2]3]
[55; 44; 34; 51; 51; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13; 24], , [414]
[55; 44; 34; 51; 51; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21; 53; 13], , [311]
[44; 34; 51; 51; 53; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33; 21], , [411]
[44; 34; 51; 51; 53; 66; 66; 66; 66; 66], [14; 41; 52; 54; 33], , [414]
[44; 51; 51; 53; 54; 66; 66; 66; 66; 66], [14; 41; 52], , [414]
[44; 51; 53; 54; 41; 66; 66; 66; 66; 66], [14], , [311]
[44; 53; 54; 41; 66; 66; 66; 66; 66], [], , [311]
