hand1_col1, hand1_rank1, hand1_col2, hand1_rank2, hand1_col3, hand1_rank3, hand1_col4, hand1_rank4, hand1_col5, hand1_rank5, hand2_col1, hand2_rank1, hand2_col2, hand2_rank2, hand2_col3, hand2_rank3, hand2_col4, hand2_rank4, hand2_col5, hand2_rank5, discard11, discard12, discard13, discard14, discard15, discard21, discard22, discard23, discard24, discard25, discard31, discard32, discard33, discard34, discard35, discard41, discard42, discard43, discard44, discard45, discard51, discard52, discard53, discard54, discard55, deck_count, hints, pile1, pile2, pile3, pile4, pile5, move
3, 3, 3, 4, 4, 3, 2, 1, 1, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 7, 0, 0, 0, 0, 0, 314
3, 3, 3, 4, 4, 3, 2, 1, 1, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 6, 0, 1, 0, 0, 0, 311
3, 3, 3, 4, 4, 3, 2, 1, 1, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 5, 0, 1, 0, 0, 1, 311
3, 4, 4, 3, 2, 1, 1, 2, 2, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 6, 0, 2, 0, 0, 1, 414
3, 4, 4, 3, 2, 1, 1, 2, 2, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 35, 6, 0, 2, 0, 0, 1, 410
4, 3, 2, 1, 1, 2, 2, 1, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 33, 8, 0, 2, 0, 0, 1, 2011
4, 3, 2, 1, 1, 2, 2, 1, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 32, 7, 0, 2, 0, 1, 1, 414
4, 3, 2, 1, 1, 2, 2, 1, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 31, 7, 0, 2, 0, 1, 1, 414
4, 3, 2, 1, 1, 2, 2, 1, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 30, 7, 0, 2, 0, 1, 1, 410
4, 3, 2, 1, 1, 2, 2, 1, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 29, 7, 0, 2, 0, 1, 1, 413
4, 3, 2, 1, 1, 2, 2, 1, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 28, 7, 0, 2, 0, 1, 1, 314
4, 3, 2, 1, 1, 2, 2, 1, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 27, 6, 0, 2, 0, 2, 1, 2013
